[DEBUG] 2023-02-21 04:47:29.990 [http-nio-8080-exec-2] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2023-02-21 04:47:30.024 [http-nio-8080-exec-2] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2023-02-21 04:47:30.045 [http-nio-8080-exec-2] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2023-02-21 04:47:30.455 [http-nio-8080-exec-2] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2023-02-21 04:47:30.458 [http-nio-8080-exec-2] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2023-02-21 04:47:31.250 [http-nio-8080-exec-2] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2023-02-21 04:47:32.897 [http-nio-8080-exec-2] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2023-02-21 04:47:32.980 [http-nio-8080-exec-2] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2023-02-21 04:47:32.982 [http-nio-8080-exec-2] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[DEBUG] 2023-02-21 04:47:33.161 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1722c509
[DEBUG] 2023-02-21 04:47:33.161 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@1722c509
[DEBUG] 2023-02-21 04:47:33.162 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1722c509
[DEBUG] 2023-02-21 04:47:33.163 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3a477364
[DEBUG] 2023-02-21 04:47:33.164 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3a477364
[DEBUG] 2023-02-21 04:47:33.165 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3a477364
[DEBUG] 2023-02-21 04:47:33.166 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@64a819d7
[DEBUG] 2023-02-21 04:47:33.166 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@64a819d7
[DEBUG] 2023-02-21 04:47:33.166 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@64a819d7
[DEBUG] 2023-02-21 04:47:33.167 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4ce37973
[DEBUG] 2023-02-21 04:47:33.168 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4ce37973
[DEBUG] 2023-02-21 04:47:33.168 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@4ce37973
[DEBUG] 2023-02-21 04:47:33.169 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@623e627c
[DEBUG] 2023-02-21 04:47:33.184 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@623e627c
[DEBUG] 2023-02-21 04:47:33.185 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@623e627c
[DEBUG] 2023-02-21 04:47:33.190 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@9e0f0ad
[DEBUG] 2023-02-21 04:47:33.191 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@9e0f0ad
[DEBUG] 2023-02-21 04:47:33.191 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@9e0f0ad
[DEBUG] 2023-02-21 04:47:33.192 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@44d7561e
[DEBUG] 2023-02-21 04:47:33.192 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@44d7561e
[DEBUG] 2023-02-21 04:47:33.193 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@4233a35
[DEBUG] 2023-02-21 04:47:33.194 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@4233a35
[DEBUG] 2023-02-21 04:47:33.195 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@2ff9fe18
[DEBUG] 2023-02-21 04:47:33.195 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@2ff9fe18
[DEBUG] 2023-02-21 04:47:33.195 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@6b9db18a
[DEBUG] 2023-02-21 04:47:33.196 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@6cfc976d
[DEBUG] 2023-02-21 04:47:33.197 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@27bc8c8e
[DEBUG] 2023-02-21 04:47:33.197 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@27bc8c8e
[DEBUG] 2023-02-21 04:47:33.198 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@35924b72
[DEBUG] 2023-02-21 04:47:33.198 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@35924b72
[DEBUG] 2023-02-21 04:47:33.202 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@71514d5b
[DEBUG] 2023-02-21 04:47:33.202 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@71514d5b
[DEBUG] 2023-02-21 04:47:33.224 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@60bb14b4
[DEBUG] 2023-02-21 04:47:33.224 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@60bb14b4
[DEBUG] 2023-02-21 04:47:33.226 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@35c9754e
[DEBUG] 2023-02-21 04:47:33.226 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@35c9754e
[DEBUG] 2023-02-21 04:47:33.231 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@4caadebd
[DEBUG] 2023-02-21 04:47:33.231 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@4caadebd
[DEBUG] 2023-02-21 04:47:33.233 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5cc15b37
[DEBUG] 2023-02-21 04:47:33.234 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5cc15b37
[DEBUG] 2023-02-21 04:47:33.236 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@67b42060
[DEBUG] 2023-02-21 04:47:33.243 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@67b42060
[DEBUG] 2023-02-21 04:47:33.246 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@3b6b2d58
[DEBUG] 2023-02-21 04:47:33.247 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@3b6b2d58
[DEBUG] 2023-02-21 04:47:33.254 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@35051761
[DEBUG] 2023-02-21 04:47:33.256 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@35051761
[DEBUG] 2023-02-21 04:47:33.258 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@56932988
[DEBUG] 2023-02-21 04:47:33.258 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@56932988
[DEBUG] 2023-02-21 04:47:33.262 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@1d4da81
[DEBUG] 2023-02-21 04:47:33.262 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@1d4da81
[DEBUG] 2023-02-21 04:47:33.263 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@1d4da81
[DEBUG] 2023-02-21 04:47:33.266 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@611e06be
[DEBUG] 2023-02-21 04:47:33.268 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@30bde93
[DEBUG] 2023-02-21 04:47:33.268 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@30bde93
[DEBUG] 2023-02-21 04:47:33.268 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@30bde93
[DEBUG] 2023-02-21 04:47:33.270 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@4cdd091e
[DEBUG] 2023-02-21 04:47:33.272 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@15cf82b6
[DEBUG] 2023-02-21 04:47:33.273 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@15cf82b6
[DEBUG] 2023-02-21 04:47:33.275 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@19ae8bea
[DEBUG] 2023-02-21 04:47:33.275 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@19ae8bea
[DEBUG] 2023-02-21 04:47:33.276 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@28089192
[DEBUG] 2023-02-21 04:47:33.277 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@28089192
[DEBUG] 2023-02-21 04:47:33.285 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@501bc129
[DEBUG] 2023-02-21 04:47:33.286 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@501bc129
[DEBUG] 2023-02-21 04:47:33.287 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@fcdf710
[DEBUG] 2023-02-21 04:47:33.287 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@fcdf710
[DEBUG] 2023-02-21 04:47:33.288 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@582fdf75
[DEBUG] 2023-02-21 04:47:33.297 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@79e01e1b
[DEBUG] 2023-02-21 04:47:33.297 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@79e01e1b
[DEBUG] 2023-02-21 04:47:33.298 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@79e01e1b
[DEBUG] 2023-02-21 04:47:33.303 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@3b75e42
[DEBUG] 2023-02-21 04:47:33.303 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@3b75e42
[DEBUG] 2023-02-21 04:47:33.304 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@3b75e42
[DEBUG] 2023-02-21 04:47:33.306 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@7a49bb22
[DEBUG] 2023-02-21 04:47:33.317 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@574afd96
[DEBUG] 2023-02-21 04:47:33.325 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@51f2abf5
[DEBUG] 2023-02-21 04:47:33.325 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@51f2abf5
[DEBUG] 2023-02-21 04:47:33.326 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@51f2abf5
[DEBUG] 2023-02-21 04:47:33.327 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@50585070
[DEBUG] 2023-02-21 04:47:33.327 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@50585070
[DEBUG] 2023-02-21 04:47:33.327 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@50585070
[DEBUG] 2023-02-21 04:47:33.328 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@74680741
[DEBUG] 2023-02-21 04:47:33.333 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@3df053b3
[DEBUG] 2023-02-21 04:47:33.335 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@4a2ca16e
[DEBUG] 2023-02-21 04:47:33.335 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@4a2ca16e
[DEBUG] 2023-02-21 04:47:33.340 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@6fe5e76
[DEBUG] 2023-02-21 04:47:33.353 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@11833278
[DEBUG] 2023-02-21 04:47:33.353 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@11833278
[DEBUG] 2023-02-21 04:47:33.354 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@7d069d57
[DEBUG] 2023-02-21 04:47:33.355 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@7d069d57
[DEBUG] 2023-02-21 04:47:33.355 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@23f727fb
[DEBUG] 2023-02-21 04:47:33.356 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@2ee30ff4
[DEBUG] 2023-02-21 04:47:33.357 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@1384a3a2
[DEBUG] 2023-02-21 04:47:33.372 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@1f5f2f61
[DEBUG] 2023-02-21 04:47:33.373 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@1f5f2f61
[DEBUG] 2023-02-21 04:47:33.374 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@485bc4a5
[DEBUG] 2023-02-21 04:47:33.374 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@677299ff
[DEBUG] 2023-02-21 04:47:33.383 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@7d724302
[DEBUG] 2023-02-21 04:47:33.384 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@1d1a86de
[DEBUG] 2023-02-21 04:47:33.384 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@b720734
[DEBUG] 2023-02-21 04:47:33.386 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@783ccac4
[DEBUG] 2023-02-21 04:47:33.386 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@17b9fc92
[DEBUG] 2023-02-21 04:47:33.386 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@5edcb4cd
[DEBUG] 2023-02-21 04:47:33.445 [http-nio-8080-exec-2] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2023-02-21 04:47:33.446 [http-nio-8080-exec-2] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2023-02-21 04:47:33.449 [http-nio-8080-exec-2] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2023-02-21 04:47:33.453 [http-nio-8080-exec-2] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2023-02-21 04:47:33.454 [http-nio-8080-exec-2] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2023-02-21 04:47:33.456 [http-nio-8080-exec-2] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 2023-02-21 04:47:33.458 [http-nio-8080-exec-2] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2023-02-21 04:47:33.460 [http-nio-8080-exec-2] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2023-02-21 04:47:33.461 [http-nio-8080-exec-2] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2023-02-21 04:47:33.462 [http-nio-8080-exec-2] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2023-02-21 04:47:33.462 [http-nio-8080-exec-2] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2023-02-21 04:47:33.463 [http-nio-8080-exec-2] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2023-02-21 04:47:33.463 [http-nio-8080-exec-2] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2023-02-21 04:47:33.488 [http-nio-8080-exec-2] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[INFO ] 2023-02-21 04:47:33.497 [http-nio-8080-exec-2] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.cj.jdbc.Driver at URL: jdbc:mysql://localhost:3306/questie
[INFO ] 2023-02-21 04:47:33.497 [http-nio-8080-exec-2] C3P0ConnectionProvider - HHH10001001: Connection properties: {password=****, user=root}
[INFO ] 2023-02-21 04:47:33.499 [http-nio-8080-exec-2] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2023-02-21 04:47:33.979 [http-nio-8080-exec-2] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[DEBUG] 2023-02-21 04:47:35.627 [http-nio-8080-exec-2] JdbcEnvironmentInitiator - Database ->
       name : MySQL
    version : 8.0.22
      major : 8
      minor : 0
[DEBUG] 2023-02-21 04:47:35.642 [http-nio-8080-exec-2] JdbcEnvironmentInitiator - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.16 (Revision: 34cbc6bc61f72836e26327537a432d6db7c77de6)
      major : 8
      minor : 0
[DEBUG] 2023-02-21 04:47:35.643 [http-nio-8080-exec-2] JdbcEnvironmentInitiator - JDBC version : 4.2
[INFO ] 2023-02-21 04:47:35.774 [http-nio-8080-exec-2] Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[DEBUG] 2023-02-21 04:47:35.842 [http-nio-8080-exec-2] IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in more than one case
[DEBUG] 2023-02-21 04:47:35.916 [http-nio-8080-exec-2] IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
[DEBUG] 2023-02-21 04:47:36.067 [http-nio-8080-exec-2] Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[DEBUG] 2023-02-21 04:47:36.105 [http-nio-8080-exec-2] TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@f36663a] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@6e39b13c]
[DEBUG] 2023-02-21 04:47:36.271 [http-nio-8080-exec-2] AnnotationBinder - Binding entity from annotated class: questie.entity.User
[DEBUG] 2023-02-21 04:47:36.369 [http-nio-8080-exec-2] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2023-02-21 04:47:36.416 [http-nio-8080-exec-2] EntityBinder - Import with entity name User
[DEBUG] 2023-02-21 04:47:36.420 [http-nio-8080-exec-2] EntityBinder - Bind entity questie.entity.User on table User
[DEBUG] 2023-02-21 04:47:36.520 [http-nio-8080-exec-2] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(User), mappingColumn=id, insertable=true, updatable=true, unique=false}
[DEBUG] 2023-02-21 04:47:36.554 [http-nio-8080-exec-2] PropertyBinder - MetadataSourceProcessor property id with lazy=false
[DEBUG] 2023-02-21 04:47:36.556 [http-nio-8080-exec-2] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [questie.entity.User:id]
[DEBUG] 2023-02-21 04:47:36.571 [http-nio-8080-exec-2] SimpleValueBinder - building SimpleValue for id
[DEBUG] 2023-02-21 04:47:36.575 [http-nio-8080-exec-2] PropertyBinder - Building property id
